Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Workforce Gender Ratio
North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,67.8960096735187
Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,76.8694550063371
Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,61.5501941209096
Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,25.103305785124
Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,30.7812945537496
Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,90.4734658847089
Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,32.030492030492
Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,65.4861871729342
China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,80.0660938532716
Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,88.5008517887564
Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,80.4165539626724
Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,88.0464312175846
Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,79.2610062893082
Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,89.0779746129167
Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,97.4420272531676
Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,22.8396994364433
Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,94.397912947961
Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,69.7550757331614
South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,78.8394276629571
Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,77.1390767421347
Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,87.7467199087279
Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,61.2273361227336
Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27,30.078548212351
Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,88.0208333333333
Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,72.6751135548649
Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,78.2789079229122
Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,66.0662047729022
Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,104.742818971276
Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,75.4438677956842
Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,94.093819417222
Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,44.759477540618
Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,98.3115399263679
Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055,36.1143354614045
Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,44.620291988713
Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,15.5265284136817
Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,71.3457505859134
Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,98.7469962238242
Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,45.5223880597015
Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,60.7410327158061
Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,82.8264526983305
Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,74.4559173947577
Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,85.8833177132146
Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,91.210139002453
Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,89.3401015228427
Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,91.5676379619079
India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,27.3840885142255
Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,89.6637608966376
Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,60.8342170378226
Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,93.8754793593503
Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,79.7095709570957
Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,103.364149974319
Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,87.8641322685862
Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,87.4382207578254
Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,85.5328620057607
Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,90.189007709525
Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,100.829326923077
Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,91.3666590231598
Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,29.2002147074611
Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,81.1453744493392
South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,96.3199348180337
